Date,gas_hsc_fee_per_mmbtu,gas_waha_fee_per_mmbtu,oil_trucking_fee_per_bbl,ngl_tnf_per_gal
60510,-0.64,-0.13,-1.25,-0.08
60540,-0.64,-0.13,-1.25,-0.08
60571,-0.64,-0.13,-1.25,-0.08
60601,-0.64,-0.13,-1.25,-0.08
60632,-0.64,-0.13,-1.25,-0.08
60663,-0.64,-0.13,-1.25,-0.08
60691,-0.64,-0.13,-1.25,-0.08
60722,-0.64,-0.13,-1.25,-0.08
60752,-0.64,-0.13,-1.25,-0.08
60783,-0.64,-0.13,-1.25,-0.08
60813,-0.64,-0.13,-1.25,-0.08
60844,-0.64,-0.13,-1.25,-0.08
60875,-0.64,-0.13,-1.25,-0.08
60905,-0.64,-0.13,-1.25,-0.08
60936,-0.64,-0.13,-1.25,-0.08
60966,-0.64,-0.13,-1.25,-0.08
60997,-0.64,-0.13,-1.25,-0.08
61028,-0.64,-0.13,-1.25,-0.08
61056,-0.64,-0.13,-1.25,-0.08
61087,-0.64,-0.13,-1.25,-0.08
61117,-0.64,-0.13,-1.25,-0.08
61148,-0.64,-0.13,-1.25,-0.08
61178,-0.64,-0.13,-1.25,-0.08
61209,-0.64,-0.13,-1.25,-0.08
61240,-0.64,-0.13,-1.25,-0.08
61270,-0.64,-0.13,-1.25,-0.08
61301,-0.64,-0.13,-1.25,-0.08
61331,-0.64,-0.13,-1.25,-0.08
61362,-0.64,-0.13,-1.25,-0.08
61393,-0.64,-0.13,-1.25,-0.08
61422,-0.64,-0.13,-1.25,-0.08
61453,-0.64,-0.13,-1.25,-0.08
61483,-0.64,-0.13,-1.25,-0.08
61514,-0.64,-0.13,-1.25,-0.08
61544,-0.64,-0.13,-1.25,-0.08
61575,-0.64,-0.13,-1.25,-0.08
61606,-0.64,-0.13,-1.25,-0.08
61636,-0.64,-0.13,-1.25,-0.08
61667,-0.64,-0.13,-1.25,-0.08
61697,-0.64,-0.13,-1.25,-0.08
61728,-0.64,-0.13,-1.25,-0.08
61759,-0.64,-0.13,-1.25,-0.08
61787,-0.64,-0.13,-1.25,-0.08
61818,-0.64,-0.13,-1.25,-0.08
61848,-0.64,-0.13,-1.25,-0.08
61879,-0.64,-0.13,-1.25,-0.08
61909,-0.64,-0.13,-1.25,-0.08
61940,-0.64,-0.13,-1.25,-0.08
61971,-0.64,-0.13,-1.25,-0.08
62001,-0.64,-0.13,-1.25,-0.08
