Date,gas_hsc_pct,gas_waha_pct,gas_all_pct,oil_midland_pct,oil_houston_pct,oil_all_pct,ngl_ethane_pct,ngl_propane_pct,ngl_n_butane_pct,ngl_iso_butane_pct,ngl_nat_gasoline_pct,ngl_all_pct
56430,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56461,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56492,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56522,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56553,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56583,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56614,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56645,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56673,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56704,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56734,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56765,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56795,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56826,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56857,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56887,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56918,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56948,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56979,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57010,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57039,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57070,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57100,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57131,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57161,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57192,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57223,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57253,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57284,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57314,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57345,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57376,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57404,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57435,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57465,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57496,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57526,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57557,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57588,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57618,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57649,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57679,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57710,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57741,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57769,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57800,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57830,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57861,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57891,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57922,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57953,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
57983,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58014,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58044,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58075,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58106,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58134,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58165,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58195,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58226,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58256,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58287,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58318,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58348,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58379,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58409,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58440,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58471,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58500,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58531,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58561,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58592,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58622,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58653,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58684,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58714,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58745,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58775,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58806,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58837,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58865,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58896,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58926,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58957,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
58987,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59018,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59049,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59079,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59110,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59140,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
